feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier
id_25,categorical,0.9913457739244308,319,0.9913457739244308,False,False,False
id_26,categorical,0.9912938440523362,91,0.9912938440523362,False,False,False
id_27,categorical,0.991284812770233,2,0.991284812770233,False,False,False
id_28,categorical,0.7616035041374561,2,0.7616035041374561,False,False,False
id_29,categorical,0.7616035041374561,2,0.7616035041374561,False,False,False
id_30,categorical,0.8688296587304275,75,0.8688296587304275,False,False,False
id_31,categorical,0.7627595082466895,128,0.7627595082466895,False,False,False
id_32,categorical,0.8687912757814882,4,0.8687912757814882,False,False,False
id_33,categorical,0.8761562863367991,236,0.8761562863367991,False,False,False
id_34,categorical,0.868425508856301,4,0.868425508856301,False,False,False
id_35,boolean,0.7615922150348269,2,0.7615922150348269,False,False,False
id_36,boolean,0.7615922150348269,2,0.7615922150348269,False,False,False
id_37,boolean,0.7615922150348269,2,0.7615922150348269,False,False,False
id_38,boolean,0.7615922150348269,2,0.7615922150348269,False,False,False
DeviceType,categorical,0.7618676691389802,2,0.7618676691389802,False,False,False
DeviceInfo,categorical,0.7994061932017024,1665,0.7994061932017024,False,False,False
has_identity,boolean,0.0,2,0.7560853907722875,False,False,False
