feature_a,feature_b,encoded_feature_a,encoded_feature_b,correlation
V46,V172,V46,V172,1.0
V46,V174,V46,V174,1.0
V46,V175,V46,V175,1.0
V46,V176,V46,V176,1.0
V46,V202,V46,V202,1.0
V46,V203,V46,V203,1.0
V46,V204,V46,V204,1.0
V46,V205,V46,V205,1.0
V46,V206,V46,V206,1.0
V46,V207,V46,V207,1.0
V46,V208,V46,V208,1.0
V46,V209,V46,V209,1.0
V46,V210,V46,V210,1.0
V46,V214,V46,V214,1.0
V46,V215,V46,V215,1.0
V46,V216,V46,V216,1.0
V46,V217,V46,V217,1.0
V46,V218,V46,V218,1.0
V46,V219,V46,V219,1.0
V46,V220,V46,V220,1.0
V46,V221,V46,V221,1.0
V46,V222,V46,V222,1.0
V46,V223,V46,V223,1.0
V46,V224,V46,V224,1.0
V46,V225,V46,V225,1.0
V46,V227,V46,V227,1.0
V46,V228,V46,V228,1.0
V46,V229,V46,V229,1.0
V46,V230,V46,V230,1.0
V46,V263,V46,V263,1.0
V46,V264,V46,V264,1.0
V46,V265,V46,V265,1.0
V46,V266,V46,V266,1.0
V46,V267,V46,V267,1.0
V46,V268,V46,V268,1.0
V46,V270,V46,V270,1.0
V46,V271,V46,V271,1.0
V46,V272,V46,V272,1.0
V46,V276,V46,V276,1.0
V46,V277,V46,V277,1.0
V46,V278,V46,V278,1.0
V46,V281,V46,V281,1.0
V46,V284,V46,V284,1.0
V46,V286,V46,V286,1.0
V46,V288,V46,V288,1.0
V46,V289,V46,V289,1.0
V46,V290,V46,V290,1.0
V46,V292,V46,V292,1.0
V46,V297,V46,V297,1.0
V46,V299,V46,V299,1.0
V46,V300,V46,V300,1.0
V46,V301,V46,V301,1.0
V46,V306,V46,V306,0.9560627702217388
V46,V309,V46,V309,1.0
V46,V311,V46,V311,1.0
V46,V313,V46,V313,1.0
V46,V315,V46,V315,1.0
V46,V319,V46,V319,1.0
V46,V321,V46,V321,1.0
V46,id_17,V46,id_17__121.0,1.0000000000000002
V46,id_19,V46,id_19__410.0,1.0000000000000002
V46,id_20,V46,id_20__142.0,1.0000000000000002
V46,DeviceInfo,V46,DeviceInfo__Windows,1.0000000000000002
V48,V49,V48,V49,1.0
V48,V69,V48,V69,1.0
V48,V70,V48,V70,1.0
V48,V90,V48,V90,1.0
V48,V91,V48,V91,1.0
V49,V69,V49,V69,1.0
V49,V70,V49,V70,1.0
V49,V90,V49,V90,1.0
V49,V91,V49,V91,1.0
V50,V57,V50,V57,1.0
V50,V58,V50,V58,1.0
V50,V59,V50,V59,1.0
V50,V60,V50,V60,1.0
V50,V63,V50,V63,1.0
V50,V64,V50,V64,1.0
V50,V71,V50,V71,1.0
V50,V72,V50,V72,1.0
V50,V79,V50,V79,1.0
V50,V80,V50,V80,1.0
V50,V81,V50,V81,1.0
V50,V84,V50,V84,1.0
V50,V85,V50,V85,1.0
V50,V92,V50,V92,1.0
V50,V93,V50,V93,1.0
V50,V94,V50,V94,1.0
V50,id_01,V50,id_01,-1.0
V50,id_02,V50,id_02,0.9557363893848014
V51,V52,V51,V52,1.0
V51,V73,V51,V73,1.0
V51,V74,V51,V74,1.0
V52,V73,V52,V73,1.0
V52,V74,V52,V74,1.0
V54,V75,V54,V75,1.0
V54,V76,V54,V76,1.0
V55,V56,V55,V56,1.0
V55,V66,V55,V66,0.9999999999999999
V55,V67,V55,V67,0.9999999999999999
V55,V77,V55,V77,0.9999999999999999
V55,V78,V55,V78,0.9999999999999999
V55,V167,V55,V167,0.9999999999999999
V55,V168,V55,V168,0.9999999999999999
V55,V169,V55,V169,0.9999999999999999
V55,V170,V55,V170,1.0
V55,V171,V55,V171,1.0
V55,V172,V55,V172,0.9999999999999999
V55,V174,V55,V174,0.9999999999999999
V55,V175,V55,V175,0.9999999999999999
V55,V176,V55,V176,1.0
V55,V202,V55,V202,0.9999999999999999
V55,V203,V55,V203,0.9999999999999999
V55,V204,V55,V204,0.9999999999999999
V55,V205,V55,V205,1.0
V55,V206,V55,V206,0.9999999999999999
V55,V207,V55,V207,1.0
V55,V208,V55,V208,1.0
V55,V209,V55,V209,1.0
V55,V210,V55,V210,1.0
V55,V214,V55,V214,0.9999999999999999
V55,V215,V55,V215,0.9999999999999999
V55,V216,V55,V216,0.9999999999999999
V55,V217,V55,V217,0.9999999999999999
V55,V218,V55,V218,0.9999999999999999
V55,V219,V55,V219,0.9999999999999999
V55,V220,V55,V220,0.9999999999999999
V55,V221,V55,V221,1.0
V55,V222,V55,V222,1.0
V55,V223,V55,V223,0.9999999999999999
V55,V224,V55,V224,0.9999999999999999
V55,V225,V55,V225,0.9999999999999999
V55,V227,V55,V227,0.9999999999999999
V55,V228,V55,V228,1.0
V55,V229,V55,V229,1.0
V55,V230,V55,V230,1.0
V55,V263,V55,V263,0.9999999999999999
V55,V264,V55,V264,0.9999999999999999
V55,V265,V55,V265,0.9999999999999999
V55,V266,V55,V266,1.0
V55,V267,V55,V267,1.0
V55,V268,V55,V268,1.0
V55,V270,V55,V270,1.0
V55,V271,V55,V271,1.0
V55,V272,V55,V272,1.0
V55,V276,V55,V276,0.9999999999999999
V55,V277,V55,V277,0.9999999999999999
V55,V278,V55,V278,0.9999999999999999
V55,V281,V55,V281,0.9999999999999999
V55,V284,V55,V284,0.9999999999999999
V55,V286,V55,V286,0.9999999999999999
V55,V288,V55,V288,0.9999999999999999
V55,V289,V55,V289,0.9999999999999999
V55,V290,V55,V290,1.0
V55,V292,V55,V292,1.0
V55,V297,V55,V297,0.9999999999999999
V55,V299,V55,V299,0.9999999999999999
V55,V300,V55,V300,0.9999999999999999
V55,V301,V55,V301,0.9999999999999999
V55,V306,V55,V306,0.9560627702217388
V55,V309,V55,V309,1.0
V55,V311,V55,V311,0.9999999999999999
V55,V313,V55,V313,1.0
V55,V315,V55,V315,1.0
V55,V319,V55,V319,0.9999999999999999
V55,V321,V55,V321,0.9999999999999999
V55,id_17,V55,id_17__121.0,1.0000000000000002
V55,id_19,V55,id_19__410.0,1.0000000000000002
V55,id_20,V55,id_20__142.0,1.0000000000000002
V55,DeviceInfo,V55,DeviceInfo__Windows,1.0000000000000002
V56,V66,V56,V66,0.9999999999999999
V56,V67,V56,V67,0.9999999999999999
V56,V77,V56,V77,0.9999999999999999
V56,V78,V56,V78,0.9999999999999999
V56,V167,V56,V167,0.9999999999999999
V56,V168,V56,V168,0.9999999999999999
V56,V169,V56,V169,0.9999999999999999
V56,V170,V56,V170,1.0
V56,V171,V56,V171,1.0
V56,V172,V56,V172,0.9999999999999999
V56,V174,V56,V174,0.9999999999999999
V56,V175,V56,V175,0.9999999999999999
V56,V176,V56,V176,1.0
V56,V202,V56,V202,0.9999999999999999
V56,V203,V56,V203,0.9999999999999999
V56,V204,V56,V204,0.9999999999999999
V56,V205,V56,V205,1.0
V56,V206,V56,V206,0.9999999999999999
V56,V207,V56,V207,1.0
V56,V208,V56,V208,1.0
V56,V209,V56,V209,1.0
V56,V210,V56,V210,1.0
V56,V214,V56,V214,0.9999999999999999
V56,V215,V56,V215,0.9999999999999999
V56,V216,V56,V216,0.9999999999999999
V56,V217,V56,V217,0.9999999999999999
V56,V218,V56,V218,0.9999999999999999
V56,V219,V56,V219,0.9999999999999999
V56,V220,V56,V220,0.9999999999999999
V56,V221,V56,V221,1.0
V56,V222,V56,V222,1.0
V56,V223,V56,V223,0.9999999999999999
V56,V224,V56,V224,0.9999999999999999
V56,V225,V56,V225,0.9999999999999999
V56,V227,V56,V227,0.9999999999999999
V56,V228,V56,V228,1.0
V56,V229,V56,V229,1.0
V56,V230,V56,V230,1.0
V56,V263,V56,V263,0.9999999999999999
V56,V264,V56,V264,0.9999999999999999
V56,V265,V56,V265,0.9999999999999999
V56,V266,V56,V266,1.0
V56,V267,V56,V267,1.0
V56,V268,V56,V268,1.0
V56,V270,V56,V270,1.0
V56,V271,V56,V271,1.0
V56,V272,V56,V272,1.0
V56,V276,V56,V276,0.9999999999999999
V56,V277,V56,V277,0.9999999999999999
V56,V278,V56,V278,0.9999999999999999
V56,V281,V56,V281,0.9999999999999999
V56,V284,V56,V284,0.9999999999999999
V56,V286,V56,V286,0.9999999999999999
V56,V288,V56,V288,0.9999999999999999
V56,V289,V56,V289,0.9999999999999999
V56,V290,V56,V290,1.0
V56,V292,V56,V292,1.0
V56,V297,V56,V297,0.9999999999999999
V56,V299,V56,V299,0.9999999999999999
V56,V300,V56,V300,0.9999999999999999
V56,V301,V56,V301,0.9999999999999999
V56,V306,V56,V306,0.9560627702217388
V56,V309,V56,V309,1.0
V56,V311,V56,V311,0.9999999999999999
V56,V313,V56,V313,1.0
V56,V315,V56,V315,1.0
V56,V319,V56,V319,0.9999999999999999
V56,V321,V56,V321,0.9999999999999999
V56,id_17,V56,id_17__121.0,1.0000000000000002
V56,id_19,V56,id_19__410.0,1.0000000000000002
V56,id_20,V56,id_20__142.0,1.0000000000000002
V56,DeviceInfo,V56,DeviceInfo__Windows,1.0000000000000002
V57,V58,V57,V58,1.0
V57,V59,V57,V59,1.0
V57,V60,V57,V60,1.0
V57,V63,V57,V63,1.0
V57,V64,V57,V64,1.0
V57,V71,V57,V71,1.0
V57,V72,V57,V72,1.0
V57,V79,V57,V79,1.0
V57,V80,V57,V80,1.0
V57,V81,V57,V81,1.0
V57,V84,V57,V84,1.0
V57,V85,V57,V85,1.0
V57,V92,V57,V92,1.0
V57,V93,V57,V93,1.0
V57,V94,V57,V94,1.0
V57,id_01,V57,id_01,-1.0
V57,id_02,V57,id_02,0.9557363893848014
V58,V59,V58,V59,1.0
V58,V60,V58,V60,1.0
V58,V63,V58,V63,1.0
V58,V64,V58,V64,1.0
V58,V71,V58,V71,1.0
V58,V72,V58,V72,1.0
V58,V79,V58,V79,1.0
V58,V80,V58,V80,1.0
V58,V81,V58,V81,1.0
V58,V84,V58,V84,1.0
V58,V85,V58,V85,1.0
V58,V92,V58,V92,1.0
V58,V93,V58,V93,1.0
V58,V94,V58,V94,1.0
V58,id_01,V58,id_01,-1.0
V58,id_02,V58,id_02,0.9557363893848014
V59,V60,V59,V60,1.0
V59,V63,V59,V63,1.0
V59,V64,V59,V64,1.0
V59,V71,V59,V71,1.0
V59,V72,V59,V72,1.0
V59,V79,V59,V79,1.0
V59,V80,V59,V80,1.0
V59,V81,V59,V81,1.0
V59,V84,V59,V84,1.0
V59,V85,V59,V85,1.0
V59,V92,V59,V92,1.0
V59,V93,V59,V93,1.0
V59,V94,V59,V94,1.0
V59,id_01,V59,id_01,-1.0
V59,id_02,V59,id_02,0.9557363893848014
V60,V63,V60,V63,1.0
V60,V64,V60,V64,1.0
V60,V71,V60,V71,1.0
V60,V72,V60,V72,1.0
V60,V79,V60,V79,1.0
V60,V80,V60,V80,1.0
V60,V81,V60,V81,1.0
V60,V84,V60,V84,1.0
V60,V85,V60,V85,1.0
V60,V92,V60,V92,1.0
V60,V93,V60,V93,1.0
V60,V94,V60,V94,1.0
V60,id_01,V60,id_01,-1.0
V60,id_02,V60,id_02,0.9557363893848014
V61,V65,V61,V65,1.0
V61,V68,V61,V68,0.9999999999999999
V61,V82,V61,V82,1.0
V61,V83,V61,V83,1.0
V61,V86,V61,V86,1.0
V61,V87,V61,V87,1.0
V61,V88,V61,V88,1.0
V61,V89,V61,V89,0.9999999999999999
V61,V138,V61,V138,-0.9999999999999999
V61,V139,V61,V139,-0.9999999999999999
V61,V140,V61,V140,-0.9999999999999999
V61,V141,V61,V141,-0.9999999999999999
V61,V142,V61,V142,-0.9999999999999999
V61,V146,V61,V146,-0.9999999999999999
V61,V147,V61,V147,-0.9999999999999999
V61,V148,V61,V148,-0.9999999999999999
V61,V149,V61,V149,-0.9999999999999999
V61,V153,V61,V153,-0.9999999999999999
V61,V154,V61,V154,-0.9999999999999999
V61,V155,V61,V155,-0.9999999999999999
V61,V156,V61,V156,-0.9999999999999999
V61,V157,V61,V157,-0.9999999999999999
V61,V158,V61,V158,-0.9999999999999999
V61,V161,V61,V161,-0.9999999999999999
V61,V162,V61,V162,-0.9999999999999999
V61,V163,V61,V163,-0.9999999999999999
V61,V322,V61,V322,-0.9999999999999999
V61,V323,V61,V323,-0.9999999999999999
V61,V324,V61,V324,-0.9999999999999999
V61,V325,V61,V325,-0.9999999999999999
V61,V326,V61,V326,-0.9999999999999999
V61,V327,V61,V327,-0.9999999999999999
V61,V328,V61,V328,-0.9999999999999999
V61,V329,V61,V329,-0.9999999999999999
V61,V330,V61,V330,-0.9999999999999999
V61,V331,V61,V331,-0.9999999999999999
V61,V332,V61,V332,-0.9999999999999999
V61,V333,V61,V333,-0.9999999999999999
V61,V334,V61,V334,-0.9999999999999999
V61,V335,V61,V335,-0.9999999999999999
V61,V336,V61,V336,-0.9999999999999999
V61,V337,V61,V337,-0.9999999999999999
V61,V338,V61,V338,-0.9999999999999999
V61,V339,V61,V339,-0.9999999999999999
V61,id_14,V61,id_14____missing__,1.0
V61,id_17,V61,id_17__166.0,-1.0000000000000002
V61,id_30,V61,id_30____missing__,1.0
V61,id_32,V61,id_32____missing__,1.0
V61,id_33,V61,id_33____missing__,1.0
V61,id_34,V61,id_34____missing__,1.0
V62,V314,V62,V314,0.9657417719632397
V63,V64,V63,V64,1.0
V63,V71,V63,V71,1.0
V63,V72,V63,V72,1.0
V63,V79,V63,V79,1.0
V63,V80,V63,V80,1.0
V63,V81,V63,V81,1.0
V63,V84,V63,V84,1.0
V63,V85,V63,V85,1.0
V63,V92,V63,V92,1.0
V63,V93,V63,V93,1.0
V63,V94,V63,V94,1.0
V63,id_01,V63,id_01,-1.0
V63,id_02,V63,id_02,0.9557363893848014
V64,V71,V64,V71,1.0
V64,V72,V64,V72,1.0
V64,V79,V64,V79,1.0
V64,V80,V64,V80,1.0
V64,V81,V64,V81,1.0
V64,V84,V64,V84,1.0
V64,V85,V64,V85,1.0
V64,V92,V64,V92,1.0
V64,V93,V64,V93,1.0
V64,V94,V64,V94,1.0
V64,id_01,V64,id_01,-1.0
V64,id_02,V64,id_02,0.9557363893848014
V65,V68,V65,V68,0.9999999999999999
V65,V82,V65,V82,1.0
V65,V83,V65,V83,1.0
V65,V86,V65,V86,1.0
V65,V87,V65,V87,1.0
V65,V88,V65,V88,1.0
V65,V89,V65,V89,0.9999999999999999
V65,V138,V65,V138,-0.9999999999999999
V65,V139,V65,V139,-0.9999999999999999
V65,V140,V65,V140,-0.9999999999999999
V65,V141,V65,V141,-0.9999999999999999
V65,V142,V65,V142,-0.9999999999999999
V65,V146,V65,V146,-0.9999999999999999
V65,V147,V65,V147,-0.9999999999999999
V65,V148,V65,V148,-0.9999999999999999
V65,V149,V65,V149,-0.9999999999999999
V65,V153,V65,V153,-0.9999999999999999
V65,V154,V65,V154,-0.9999999999999999
V65,V155,V65,V155,-0.9999999999999999
V65,V156,V65,V156,-0.9999999999999999
V65,V157,V65,V157,-0.9999999999999999
V65,V158,V65,V158,-0.9999999999999999
V65,V161,V65,V161,-0.9999999999999999
V65,V162,V65,V162,-0.9999999999999999
V65,V163,V65,V163,-0.9999999999999999
V65,V322,V65,V322,-0.9999999999999999
V65,V323,V65,V323,-0.9999999999999999
V65,V324,V65,V324,-0.9999999999999999
V65,V325,V65,V325,-0.9999999999999999
V65,V326,V65,V326,-0.9999999999999999
V65,V327,V65,V327,-0.9999999999999999
V65,V328,V65,V328,-0.9999999999999999
V65,V329,V65,V329,-0.9999999999999999
V65,V330,V65,V330,-0.9999999999999999
V65,V331,V65,V331,-0.9999999999999999
V65,V332,V65,V332,-0.9999999999999999
V65,V333,V65,V333,-0.9999999999999999
V65,V334,V65,V334,-0.9999999999999999
V65,V335,V65,V335,-0.9999999999999999
V65,V336,V65,V336,-0.9999999999999999
V65,V337,V65,V337,-0.9999999999999999
V65,V338,V65,V338,-0.9999999999999999
V65,V339,V65,V339,-0.9999999999999999
V65,id_14,V65,id_14____missing__,1.0
V65,id_17,V65,id_17__166.0,-1.0000000000000002
V65,id_30,V65,id_30____missing__,1.0
V65,id_32,V65,id_32____missing__,1.0
V65,id_33,V65,id_33____missing__,1.0
V65,id_34,V65,id_34____missing__,1.0
V66,V67,V66,V67,1.0
V66,V77,V66,V77,1.0
V66,V78,V66,V78,1.0
V66,V167,V66,V167,1.0
V66,V168,V66,V168,1.0
V66,V169,V66,V169,1.0
V66,V170,V66,V170,1.0
V66,V171,V66,V171,1.0
V66,V172,V66,V172,1.0
V66,V174,V66,V174,1.0
V66,V175,V66,V175,1.0
V66,V176,V66,V176,1.0
V66,V202,V66,V202,1.0
V66,V203,V66,V203,1.0
V66,V204,V66,V204,1.0
V66,V205,V66,V205,1.0
V66,V206,V66,V206,1.0
V66,V207,V66,V207,1.0
V66,V208,V66,V208,1.0
V66,V209,V66,V209,1.0
V66,V210,V66,V210,1.0
V66,V214,V66,V214,1.0
V66,V215,V66,V215,1.0
V66,V216,V66,V216,1.0
V66,V217,V66,V217,1.0
V66,V218,V66,V218,1.0
V66,V219,V66,V219,1.0
V66,V220,V66,V220,1.0
V66,V221,V66,V221,1.0
V66,V222,V66,V222,1.0
V66,V223,V66,V223,1.0
V66,V224,V66,V224,1.0
V66,V225,V66,V225,1.0
V66,V227,V66,V227,1.0
V66,V228,V66,V228,1.0
V66,V229,V66,V229,1.0
V66,V230,V66,V230,1.0
V66,V263,V66,V263,1.0
V66,V264,V66,V264,1.0
V66,V265,V66,V265,1.0
V66,V266,V66,V266,1.0
V66,V267,V66,V267,1.0
V66,V268,V66,V268,1.0
V66,V270,V66,V270,1.0
V66,V271,V66,V271,1.0
V66,V272,V66,V272,1.0
V66,V276,V66,V276,1.0
V66,V277,V66,V277,1.0
V66,V278,V66,V278,1.0
V66,V281,V66,V281,1.0
V66,V284,V66,V284,1.0
V66,V286,V66,V286,1.0
V66,V288,V66,V288,1.0
V66,V289,V66,V289,1.0
V66,V290,V66,V290,1.0
V66,V292,V66,V292,1.0
V66,V297,V66,V297,1.0
V66,V299,V66,V299,1.0
V66,V300,V66,V300,1.0
V66,V301,V66,V301,1.0
V66,V306,V66,V306,0.9560627702217388
V66,V309,V66,V309,1.0
V66,V311,V66,V311,1.0
V66,V313,V66,V313,1.0
V66,V315,V66,V315,1.0
V66,V319,V66,V319,1.0
V66,V321,V66,V321,1.0
V66,id_17,V66,id_17__121.0,1.0000000000000002
V66,id_19,V66,id_19__410.0,1.0000000000000002
V66,id_20,V66,id_20__142.0,1.0000000000000002
V66,DeviceInfo,V66,DeviceInfo__Windows,1.0000000000000002
V67,V77,V67,V77,1.0
V67,V78,V67,V78,1.0
V67,V167,V67,V167,1.0
V67,V168,V67,V168,1.0
V67,V169,V67,V169,1.0
V67,V170,V67,V170,1.0
V67,V171,V67,V171,1.0
V67,V172,V67,V172,1.0
V67,V174,V67,V174,1.0
V67,V175,V67,V175,1.0
V67,V176,V67,V176,1.0
V67,V202,V67,V202,1.0
V67,V203,V67,V203,1.0
V67,V204,V67,V204,1.0
V67,V205,V67,V205,1.0
V67,V206,V67,V206,1.0
V67,V207,V67,V207,1.0
V67,V208,V67,V208,1.0
V67,V209,V67,V209,1.0
V67,V210,V67,V210,1.0
V67,V214,V67,V214,1.0
V67,V215,V67,V215,1.0
V67,V216,V67,V216,1.0
V67,V217,V67,V217,1.0
V67,V218,V67,V218,1.0
V67,V219,V67,V219,1.0
V67,V220,V67,V220,1.0
V67,V221,V67,V221,1.0
V67,V222,V67,V222,1.0
V67,V223,V67,V223,1.0
V67,V224,V67,V224,1.0
V67,V225,V67,V225,1.0
V67,V227,V67,V227,1.0
V67,V228,V67,V228,1.0
V67,V229,V67,V229,1.0
V67,V230,V67,V230,1.0
V67,V263,V67,V263,1.0
V67,V264,V67,V264,1.0
V67,V265,V67,V265,1.0
V67,V266,V67,V266,1.0
V67,V267,V67,V267,1.0
V67,V268,V67,V268,1.0
V67,V270,V67,V270,1.0
V67,V271,V67,V271,1.0
V67,V272,V67,V272,1.0
V67,V276,V67,V276,1.0
V67,V277,V67,V277,1.0
V67,V278,V67,V278,1.0
V67,V281,V67,V281,1.0
V67,V284,V67,V284,1.0
V67,V286,V67,V286,1.0
V67,V288,V67,V288,1.0
V67,V289,V67,V289,1.0
V67,V290,V67,V290,1.0
V67,V292,V67,V292,1.0
V67,V297,V67,V297,1.0
V67,V299,V67,V299,1.0
V67,V300,V67,V300,1.0
V67,V301,V67,V301,1.0
V67,V306,V67,V306,0.9560627702217388
V67,V309,V67,V309,1.0
V67,V311,V67,V311,1.0
V67,V313,V67,V313,1.0
V67,V315,V67,V315,1.0
V67,V319,V67,V319,1.0
V67,V321,V67,V321,1.0
V67,id_17,V67,id_17__121.0,1.0000000000000002
V67,id_19,V67,id_19__410.0,1.0000000000000002
V67,id_20,V67,id_20__142.0,1.0000000000000002
V67,DeviceInfo,V67,DeviceInfo__Windows,1.0000000000000002
V68,V82,V68,V82,0.9999999999999999
V68,V83,V68,V83,0.9999999999999999
V68,V86,V68,V86,0.9999999999999999
V68,V87,V68,V87,0.9999999999999999
V68,V88,V68,V88,0.9999999999999999
V68,V89,V68,V89,1.0
V68,V138,V68,V138,-1.0
V68,V139,V68,V139,-1.0
V68,V140,V68,V140,-1.0
V68,V141,V68,V141,-1.0
V68,V142,V68,V142,-1.0
V68,V146,V68,V146,-1.0
V68,V147,V68,V147,-1.0
V68,V148,V68,V148,-1.0
V68,V149,V68,V149,-1.0
V68,V153,V68,V153,-1.0
V68,V154,V68,V154,-1.0
V68,V155,V68,V155,-1.0
V68,V156,V68,V156,-1.0
V68,V157,V68,V157,-1.0
V68,V158,V68,V158,-1.0
V68,V161,V68,V161,-1.0
V68,V162,V68,V162,-1.0
V68,V163,V68,V163,-1.0
V68,V322,V68,V322,-1.0
V68,V323,V68,V323,-1.0
V68,V324,V68,V324,-1.0
V68,V325,V68,V325,-1.0
V68,V326,V68,V326,-1.0
V68,V327,V68,V327,-1.0
V68,V328,V68,V328,-1.0
V68,V329,V68,V329,-1.0
V68,V330,V68,V330,-1.0
V68,V331,V68,V331,-1.0
V68,V332,V68,V332,-1.0
V68,V333,V68,V333,-1.0
V68,V334,V68,V334,-1.0
V68,V335,V68,V335,-1.0
V68,V336,V68,V336,-1.0
V68,V337,V68,V337,-1.0
V68,V338,V68,V338,-1.0
V68,V339,V68,V339,-1.0
V68,id_14,V68,id_14____missing__,1.0000000000000002
V68,id_17,V68,id_17__166.0,-1.0
V68,id_30,V68,id_30____missing__,1.0000000000000002
V68,id_32,V68,id_32____missing__,1.0000000000000002
V68,id_33,V68,id_33____missing__,1.0000000000000002
V68,id_34,V68,id_34____missing__,1.0000000000000002
V69,V70,V69,V70,1.0
V69,V90,V69,V90,1.0
V69,V91,V69,V91,1.0
V70,V90,V70,V90,1.0
V70,V91,V70,V91,1.0
V71,V72,V71,V72,1.0
V71,V79,V71,V79,1.0
V71,V80,V71,V80,1.0
V71,V81,V71,V81,1.0
V71,V84,V71,V84,1.0
V71,V85,V71,V85,1.0
V71,V92,V71,V92,1.0
V71,V93,V71,V93,1.0
V71,V94,V71,V94,1.0
V71,id_01,V71,id_01,-1.0
V71,id_02,V71,id_02,0.9557363893848014
V72,V79,V72,V79,1.0
V72,V80,V72,V80,1.0
V72,V81,V72,V81,1.0
V72,V84,V72,V84,1.0
V72,V85,V72,V85,1.0
V72,V92,V72,V92,1.0
V72,V93,V72,V93,1.0
V72,V94,V72,V94,1.0
V72,id_01,V72,id_01,-1.0
V72,id_02,V72,id_02,0.9557363893848014
V73,V74,V73,V74,1.0
V75,V76,V75,V76,1.0
V77,V78,V77,V78,1.0
V77,V167,V77,V167,1.0
V77,V168,V77,V168,1.0
V77,V169,V77,V169,1.0
V77,V170,V77,V170,1.0
V77,V171,V77,V171,1.0
V77,V172,V77,V172,1.0
V77,V174,V77,V174,1.0
V77,V175,V77,V175,1.0
V77,V176,V77,V176,1.0
V77,V202,V77,V202,1.0
V77,V203,V77,V203,1.0
V77,V204,V77,V204,1.0
V77,V205,V77,V205,1.0
V77,V206,V77,V206,1.0
V77,V207,V77,V207,1.0
V77,V208,V77,V208,1.0
V77,V209,V77,V209,1.0
V77,V210,V77,V210,1.0
V77,V214,V77,V214,1.0
V77,V215,V77,V215,1.0
V77,V216,V77,V216,1.0
V77,V217,V77,V217,1.0
V77,V218,V77,V218,1.0
V77,V219,V77,V219,1.0
V77,V220,V77,V220,1.0
V77,V221,V77,V221,1.0
V77,V222,V77,V222,1.0
V77,V223,V77,V223,1.0
V77,V224,V77,V224,1.0
V77,V225,V77,V225,1.0
V77,V227,V77,V227,1.0
V77,V228,V77,V228,1.0
V77,V229,V77,V229,1.0
V77,V230,V77,V230,1.0
V77,V263,V77,V263,1.0
V77,V264,V77,V264,1.0
V77,V265,V77,V265,1.0
V77,V266,V77,V266,1.0
V77,V267,V77,V267,1.0
V77,V268,V77,V268,1.0
V77,V270,V77,V270,1.0
V77,V271,V77,V271,1.0
V77,V272,V77,V272,1.0
V77,V276,V77,V276,1.0
V77,V277,V77,V277,1.0
V77,V278,V77,V278,1.0
V77,V281,V77,V281,1.0
V77,V284,V77,V284,1.0
V77,V286,V77,V286,1.0
V77,V288,V77,V288,1.0
V77,V289,V77,V289,1.0
V77,V290,V77,V290,1.0
V77,V292,V77,V292,1.0
V77,V297,V77,V297,1.0
V77,V299,V77,V299,1.0
V77,V300,V77,V300,1.0
V77,V301,V77,V301,1.0
V77,V306,V77,V306,0.9560627702217388
V77,V309,V77,V309,1.0
V77,V311,V77,V311,1.0
V77,V313,V77,V313,1.0
V77,V315,V77,V315,1.0
V77,V319,V77,V319,1.0
V77,V321,V77,V321,1.0
V77,id_17,V77,id_17__121.0,1.0000000000000002
V77,id_19,V77,id_19__410.0,1.0000000000000002
V77,id_20,V77,id_20__142.0,1.0000000000000002
V77,DeviceInfo,V77,DeviceInfo__Windows,1.0000000000000002
V78,V167,V78,V167,1.0
V78,V168,V78,V168,1.0
V78,V169,V78,V169,1.0
V78,V170,V78,V170,1.0
V78,V171,V78,V171,1.0
V78,V172,V78,V172,1.0
V78,V174,V78,V174,1.0
V78,V175,V78,V175,1.0
V78,V176,V78,V176,1.0
V78,V202,V78,V202,1.0
V78,V203,V78,V203,1.0
V78,V204,V78,V204,1.0
V78,V205,V78,V205,1.0
V78,V206,V78,V206,1.0
V78,V207,V78,V207,1.0
V78,V208,V78,V208,1.0
V78,V209,V78,V209,1.0
V78,V210,V78,V210,1.0
V78,V214,V78,V214,1.0
V78,V215,V78,V215,1.0
V78,V216,V78,V216,1.0
V78,V217,V78,V217,1.0
V78,V218,V78,V218,1.0
V78,V219,V78,V219,1.0
V78,V220,V78,V220,1.0
V78,V221,V78,V221,1.0
V78,V222,V78,V222,1.0
V78,V223,V78,V223,1.0
V78,V224,V78,V224,1.0
V78,V225,V78,V225,1.0
V78,V227,V78,V227,1.0
V78,V228,V78,V228,1.0
V78,V229,V78,V229,1.0
V78,V230,V78,V230,1.0
V78,V263,V78,V263,1.0
V78,V264,V78,V264,1.0
V78,V265,V78,V265,1.0
V78,V266,V78,V266,1.0
V78,V267,V78,V267,1.0
V78,V268,V78,V268,1.0
V78,V270,V78,V270,1.0
V78,V271,V78,V271,1.0
V78,V272,V78,V272,1.0
V78,V276,V78,V276,1.0
V78,V277,V78,V277,1.0
V78,V278,V78,V278,1.0
V78,V281,V78,V281,1.0
V78,V284,V78,V284,1.0
V78,V286,V78,V286,1.0
V78,V288,V78,V288,1.0
V78,V289,V78,V289,1.0
V78,V290,V78,V290,1.0
V78,V292,V78,V292,1.0
V78,V297,V78,V297,1.0
V78,V299,V78,V299,1.0
V78,V300,V78,V300,1.0
V78,V301,V78,V301,1.0
V78,V306,V78,V306,0.9560627702217388
V78,V309,V78,V309,1.0
V78,V311,V78,V311,1.0
V78,V313,V78,V313,1.0
V78,V315,V78,V315,1.0
